Customer ID,Product ID1,Product ID2,Product ID3,Product ID4,Product ID5,Product ID6,Product ID7,ProductID8,Product ID9,Product ID10
21,391193,315753,231334,433856,231319,231310,231322,431400,431548,371746
76,410012,428978,431480,411217,335620,383293,383295,398198,429252,398221
135,243745,243733,243744,242855,242857,242858,242856,242871,242872,242864
140,231334,231310,231322,231332,231326,231308,231306,231319,429495,350065
358,433856,436261,436251,436203,436266,436183,436262,436204,434058,434027
363,435379,435435,391178,245260,435436,420309,383513,435393,429739,428256
390,417334,417343,237832,275514,275529,417342,275871,433673,417330,275526
476,410014,315753,358688,335624,431238,329947,305818,431505,298402,420256
480,404967,391193,410506,431014,404952,429479,433816,433856,436251,404970
522,242878,190198,275799,275903,373250,243728,242859,420337,275941,275919
535,364810,358685,426800,418520,410014,391193,431539,305995,429506,343474
543,429494,429473,429503,429485,429482,429505,429493,429487,429509,429511
556,275871,242878,242877,237832,275514,275529,431014,242865,275522,275524
566,243744,431376,242856,413881,242864,242873,243745,334428,242871,242872
598,429503,343477,337556,429479,358688,225103,420260,429502,245195,430819
599,391178,427756,427772,427758,427771,275903,427754,275871,427765,427769
603,417279,429493,432762,391184,330796,361631,428978,335624,156479,417312
604,426488,391193,426494,433086,435435,297624,426491,404951,425577,404965
614,391193,391178,315759,391183,404967,352980,358702,430804,410012,391176
740,391193,391178,391183,352980,315759,373235,391176,397225,391179,352993
747,417279,429493,432762,330796,391184,428978,335624,361631,156479,129472
759,425104,262969,262971,431480,262968,335624,283872,429506,262966,275718
792,417279,429493,432762,391184,330796,428978,361631,335624,417312,156479
794,315753,330796,429495,330818,420263,371745,430821,428984,246497,429490
806,359676,410014,315753,429285,315759,335624,410012,330799,369026,429269
816,429503,433642,403320,431556,433633,433645,431029,431570,431539,431015
856,275903,275866,275782,225057,275781,337785,275768,275941,415707,275898
866,432129,384330,397218,429494,432127,432107,428235,428256,397215,432109
967,403320,429487,429503,422560,429479,433645,429198,433633,433642,415706
1001,391178,391183,428971,429739,435379,357322,418520,435435,435425,410499
1024,410371,358702,420257,426478,335629,411217,420259,431556,298390,431554
1030,415706,421253,415707,415705,343491,415700,231334,243745,231322,340194
1031,373239,428472,428477,343488,343503,343497,428486,373236,343486,343501
1037,428052,336737,429511,428056,220504,120505,375622,307748,433658,434436
1080,428477,373239,343503,428472,428486,343500,343491,373236,343497,373235
1088,275903,283891,225057,275768,275781,326039,275782,275866,275898,330796
1111,430802,426488,371771,242878,410014,127764,359676,429488,242864,279088
1224,384330,330818,329977,330796,329976,329967,330803,315759,391193,384325
1228,275903,275871,275514,275529,275768,237832,275898,275524,275757,275941
1243,358688,411217,315753,375622,420260,434675,398210,434215,358685,329947
1333,275903,275768,275941,275866,275898,275871,242878,275524,275759,275781
1421,391193,430802,397230,391183,431480,409566,420266,371756,432747,432765
1449,435393,261494,435428,261506,435436,435408,435435,435402,436203,435375
1464,426488,426485,426478,434680,404965,426492,426479,404967,404971,391183
1493,391193,431502,315753,358688,426488,435435,242864,343500,242871,435396
1550,417279,391184,432762,330796,429493,343485,156479,164362,129472,371745
1592,429327,431548,433824,431570,426488,428470,433645,431414,433816,431538
1614,358685,358688,404955,420260,315731,315753,426491,426487,330796,429511
1641,429503,343500,429483,429490,315753,429473,426797,330818,428993,431364
1646,391178,391183,391193,391187,391179,315759,410014,428965,431379,410265
1678,391193,433856,436203,436261,436251,436182,404952,436266,434058,434025
1691,433663,433670,370723,433665,434281,433669,433660,387062,417279,433655
1693,426800,429503,391193,426821,426817,426797,343500,429493,426816,431568
1695,415706,315753,422558,415707,429477,412821,432747,415708,261494,415705
1707,430821,391193,430823,430804,430806,430803,430829,430819,391179,387051
1747,410506,391178,315759,343488,429495,428965,426797,329947,428987,343491
1804,330818,329977,329979,384330,330796,330813,330816,329976,315731,404589
1807,410499,410506,370723,433665,434284,410490,433663,417279,431480,433669
1808,329977,315753,358688,329955,330813,384330,330816,315763,315731,329953
1814,275866,330818,275941,275903,275870,275757,275871,275768,275782,426488
1963,410490,410487,410507,431480,410506,410502,410510,410512,431461,431463
1971,426488,404965,426478,330818,404971,432760,426486,426492,404952,432762
2026,431556,431548,431543,433645,431554,431566,433633,431564,431562,433632
2029,242873,429502,243745,242864,242856,242855,242871,242861,391178,242872
2045,435393,435435,383513,435379,435396,426105,337583,337575,435425,435436
2059,430802,283891,371765,436266,315748,398203,432758,436261,436182,436268
2066,391183,431029,243745,343491,426800,410371,326157,387062,352980,373235
2072,391193,391178,391183,315759,352980,404967,358702,430804,410012,352993
2074,330796,384330,330813,242878,190198,329977,329967,329958,410371,429253
2088,364810,410499,420170,270860,244912,420263,329979,420262,364813,305995
2103,433816,433835,431548,387062,429493,431568,431407,373235,433815,431566
2170,329947,410012,429285,433665,384330,315763,434215,330799,429250,359676
2250,330796,391183,433856,275926,243728,436261,433816,434025,436251,275866
2263,275799,275919,275924,275903,243745,275768,275906,275741,275781,275907
2376,370736,384306,370744,370747,384318,425778,376230,384308,425770,370723
2380,417279,429493,391184,432762,330796,428978,361631,335624,417312,343485
2461,435379,435435,383513,435393,426105,435428,435425,435396,261494,435408
2466,427758,391178,391187,427756,431290,427771,427772,427754,427769,427768
2609,329979,384325,420263,431015,410371,431556,330796,431564,330813,431539
2634,415706,415707,415705,275799,415700,231334,415702,421253,415703,231322
2675,436261,436203,436251,436266,436262,436183,433856,436268,436204,434025
2770,391183,391193,429493,391184,398210,410506,397230,428978,431480,315753
2773,387051,430803,431351,430819,432762,245195,430823,430812,432768,337556
2823,315753,410012,275799,384330,275919,275926,275903,329979,411217,275768
